ts,power12,power3,power4,temp1,temp2,temp3,temp4,temp5,temp_in,temp_out
2019-01-02 06:00:00+00:00,90.5506275,147.78478775,126.73104675,-3.0970983775,-1.9400159575,-2.579713345,-0.934931125,-2.1187330475,45.669484275,80.938206175
2019-01-02 07:00:00+00:00,92.21822,144.82766225,124.92339325,-3.28937464,-2.1467080125,-2.785825925,-1.1141377375,-2.384640755,46.564300025,80.066965175
2019-01-02 08:00:00+00:00,91.307626475,144.4592515,126.518381,-3.5625191925,-2.31651032,-3.0361630325,-1.2992550975,-2.49508306,46.654060175,80.198973725
2019-01-02 09:00:00+00:00,92.034544975,144.97788225,122.73729925,-3.39837536,-2.26375117,-2.8250497,-1.1290237475,-2.2483282675,47.38537,80.5233625
2019-01-02 10:00:00+00:00,92.3810275,146.1495055,122.50602725,-3.04080768,-2.0275047025,-2.4005277775,-0.8658803375,-1.8783394375,47.439829825,80.8407875
2019-01-02 11:00:00+00:00,92.22675195,146.29394525,120.72368175,-2.74465363,-1.6894980075,-2.0587705225,-0.5368121575,-1.5269089625,47.531435375,81.511144
2019-01-02 12:00:00+00:00,91.94310855,147.0107025,123.16826625,-2.50118709,-1.475476325,-1.9193850875,-0.2887042295,-1.3093459325,47.523574975,82.698445
2019-01-02 13:00:00+00:00,90.9530025,145.84247175,124.66035225,-2.6314138975,-1.4969753425,-2.110042845,-0.5678939045,-1.6339277625,47.701558975,82.886533575
2019-01-02 14:00:00+00:00,89.469651,146.4801445,125.9973315,-2.89230645,-1.83242014,-2.441906995,-1.1527780825,-2.00275549,47.1118675,81.844235
2019-01-02 15:00:00+00:00,76.100358625,146.560677,126.148176,-3.2070297225,-1.9930938925,-2.566806575,-1.405747145,-2.09134385,46.47612295,80.290336275
2019-01-02 16:00:00+00:00,75.0924289,155.796628,124.99251725,-2.898883045,-1.7904718225,-1.953799695,-0.8211413775,-1.5204768625,47.0584638,82.0343925
2019-01-02 17:00:00+00:00,74.1042403,156.346774,125.9395925,-2.5549466975,-1.36543742,-1.6275415575,-0.3293705875,-1.07934053725,47.89558165,84.37489
2019-01-02 18:00:00+00:00,57.92481615,145.22448,106.023636,-2.255303985,-0.87422216725,-1.337251545,-0.03761164008225,-0.82673729175,47.787186625,82.3912201
2019-01-02 19:00:00+00:00,52.94370165,145.7367935,105.06976125,-2.578356185,-1.1307733075,-1.6756498825,-0.302632055,-1.0273249975,46.457348825,80.9270575
2019-01-02 20:00:00+00:00,53.03653145,145.2337265,117.94645875,-2.5747460725,-1.2763294,-1.647001265,-0.42725283175,-1.1206204975,46.309886125,81.8137175
2019-01-02 21:00:00+00:00,53.25163325,145.525486,129.11269775,-2.6086340625,-1.3978710775,-1.8115707925,-0.58669194975,-1.3067831275,46.1580219,83.0447546
2019-01-02 22:00:00+00:00,54.039541175,146.29207225,127.8502105,-2.907670975,-1.6222582975,-2.1591192775,-0.84942106475,-1.5905949625,45.9695206,83.38868
2019-01-02 23:00:00+00:00,57.2125494,145.50114075,127.45978375,-2.949041665,-1.58651291,-2.1076948825,-0.75175485,-1.4426399275,46.26901335,84.957021025
2019-01-03 00:00:00+00:00,58.505419175,146.0550215,126.43329825,-2.913086815,-1.5159368525,-2.05359888,-0.782541138,-1.40231976,47.135691275,86.55246885
2019-01-03 01:00:00+00:00,57.515893,147.138034,126.907963,-2.8455185925,-1.5581677775,-1.981245885,-0.75299210925,-1.3692875775,47.409292,87.771186025
2019-01-03 02:00:00+00:00,54.097729725,122.2354135,130.17811925,-2.821235835,-1.654215045,-1.9315913625,-0.75053011775,-1.436686215,47.57571765,86.2842764
2019-01-03 03:00:00+00:00,53.0365245,136.1122425,129.45717825,-2.9924845225,-2.0871554,-2.09065684,-1.145794825,-1.7480044075,47.082227275,84.5985875
